route,origin,destination,cluster
GVA-Abu Dhabi International,GVA,Abu Dhabi International,1
GVA-Africa,GVA,Africa,1
GVA-Amsterdam Schiphol,GVA,Amsterdam Schiphol,1
GVA-Argentina,GVA,Argentina,1
GVA-Auckland International,GVA,Auckland International,1
GVA-Australia,GVA,Australia,1
GVA-Austria,GVA,Austria,1
GVA-Belarus,GVA,Belarus,1
GVA-Belgium,GVA,Belgium,1
GVA-Berlin,GVA,Berlin,1
GVA-Billund,GVA,Billund,1
GVA-Blaise Diagne International,GVA,Blaise Diagne International,1
GVA-Bogota,GVA,Bogota,1
GVA-Brazil,GVA,Brazil,1
GVA-Bremen,GVA,Bremen,1
GVA-Brisbane International,GVA,Brisbane International,1
GVA-Bristol,GVA,Bristol,1
GVA-Brussels National,GVA,Brussels National,1
GVA-Budapest,GVA,Budapest,1
GVA-Buenos Aires Ministro Pistarini,GVA,Buenos Aires Ministro Pistarini,1
GVA-Cabo Verde,GVA,Cabo Verde,1
GVA-Cairo,GVA,Cairo,1
GVA-Cambodia,GVA,Cambodia,1
GVA-Cameroon,GVA,Cameroon,1
GVA-Cancun,GVA,Cancun,1
GVA-Cape Town,GVA,Cape Town,1
GVA-Chennai/Madras,GVA,Chennai/Madras,1
GVA-Chile,GVA,Chile,1
GVA-Colombia,GVA,Colombia,1
GVA-Colombo Bandaranayike,GVA,Colombo Bandaranayike,1
GVA-Costa Rica,GVA,Costa Rica,1
GVA-Cuba,GVA,Cuba,1
GVA-Czechia,GVA,Czechia,1
GVA-Dakar,GVA,Dakar,1
GVA-Denmark,GVA,Denmark,1
GVA-Dominican Republic,GVA,Dominican Republic,1
GVA-Domodedovo International,GVA,Domodedovo International,1
GVA-Douala,GVA,Douala,1
GVA-Dresden,GVA,Dresden,1
GVA-Dubai International,GVA,Dubai International,1
GVA-Dublin,GVA,Dublin,1
GVA-Düsseldorf,GVA,Düsseldorf,1
GVA-Edinburgh,GVA,Edinburgh,1
GVA-Egypt,GVA,Egypt,1
GVA-Estonia,GVA,Estonia,1
GVA-Europe,GVA,Europe,1
GVA-Finland,GVA,Finland,1
GVA-Germany,GVA,Germany,1
GVA-Graz,GVA,Graz,1
GVA-Hamburg Fuhlsbüttel,GVA,Hamburg Fuhlsbüttel,1
GVA-Hannover,GVA,Hannover,1
GVA-Hanoi,GVA,Hanoi,1
GVA-Helsinki,GVA,Helsinki,1
GVA-Ho Chi Minh City,GVA,Ho Chi Minh City,1
GVA-Hong Kong,GVA,Hong Kong,1
GVA-Hong Kong Chek Lap Kok Int.Airport,GVA,Hong Kong Chek Lap Kok Int.Airport,1
GVA-Hungary,GVA,Hungary,1
GVA-Hurghada,GVA,Hurghada,1
GVA-India,GVA,India,1
GVA-Indira Gandhi International,GVA,Indira Gandhi International,1
GVA-Ireland,GVA,Ireland,1
GVA-Israel,GVA,Israel,1
GVA-Istanbul,GVA,Istanbul,1
GVA-Johannesburg International,GVA,Johannesburg International,1
GVA-Jordan,GVA,Jordan,1
GVA-Jorge Chávez International,GVA,Jorge Chávez International,1
GVA-Kathmandu,GVA,Kathmandu,1
GVA-Kenya,GVA,Kenya,1
GVA-Kiev Borispol,GVA,Kiev Borispol,1
GVA-Kobenhavn Kastrup,GVA,Kobenhavn Kastrup,1
GVA-Krakow,GVA,Krakow,1
GVA-Köln Bonn,GVA,Köln Bonn,1
GVA-Lanzarote,GVA,Lanzarote,1
GVA-Las Palmas,GVA,Las Palmas,1
GVA-Latvia,GVA,Latvia,1
GVA-Leipzig,GVA,Leipzig,1
GVA-Lithuania,GVA,Lithuania,1
GVA-London City,GVA,London City,1
GVA-London Gatwick,GVA,London Gatwick,1
GVA-London Heathrow,GVA,London Heathrow,1
GVA-Lugano-Agno,GVA,Lugano-Agno,1
GVA-Luxembourg,GVA,Luxembourg,1
GVA-Madrid Barajas,GVA,Madrid Barajas,1
GVA-Maldives,GVA,Maldives,1
GVA-Male,GVA,Male,1
GVA-Manchester International,GVA,Manchester International,1
GVA-Manila Ninoy Aquino International,GVA,Manila Ninoy Aquino International,1
GVA-Marrakech,GVA,Marrakech,1
GVA-Marsa Alam,GVA,Marsa Alam,1
GVA-Mauritius,GVA,Mauritius,1
GVA-Melbourne,GVA,Melbourne,1
GVA-Mexico,GVA,Mexico,1
GVA-Mexico City Benito Juarez Intl,GVA,Mexico City Benito Juarez Intl,1
GVA-Miami International,GVA,Miami International,1
GVA-Milano Linate,GVA,Milano Linate,1
GVA-Minsk International 2,GVA,Minsk International 2,1
GVA-Morocco,GVA,Morocco,1
GVA-Moskva Sheremetyevo,GVA,Moskva Sheremetyevo,1
GVA-Moskva Vnukovo,GVA,Moskva Vnukovo,1
GVA-Muscat,GVA,Muscat,1
GVA-Myanmar,GVA,Myanmar,1
GVA-Nairobi Jomo Kenyatta International,GVA,Nairobi Jomo Kenyatta International,1
GVA-Nepal,GVA,Nepal,1
GVA-Netherlands,GVA,Netherlands,1
GVA-New Zealand,GVA,New Zealand,1
GVA-Norway,GVA,Norway,1
GVA-Nürnberg,GVA,Nürnberg,1
GVA-Oceania,GVA,Oceania,1
GVA-Oman,GVA,Oman,1
GVA-Orlando International,GVA,Orlando International,1
GVA-Oslo Gardermoen,GVA,Oslo Gardermoen,1
GVA-Other airports: America,GVA,Other airports: America,1
GVA-Other airports: Belgium,GVA,Other airports: Belgium,1
GVA-Other airports: Brazil,GVA,Other airports: Brazil,1
GVA-Other airports: Cabo Verde,GVA,Other airports: Cabo Verde,1
GVA-Other airports: Cambodia,GVA,Other airports: Cambodia,1
GVA-Other airports: Denmark,GVA,Other airports: Denmark,1
GVA-Other airports: India,GVA,Other airports: India,1
GVA-Other airports: Myanmar,GVA,Other airports: Myanmar,1
GVA-Other airports: Russia,GVA,Other airports: Russia,1
GVA-Other airports: South Africa,GVA,Other airports: South Africa,1
GVA-Other airports: Ukraine,GVA,Other airports: Ukraine,1
GVA-Panama,GVA,Panama,1
GVA-Panama City Tocumen Internationl,GVA,Panama City Tocumen Internationl,1
GVA-Paris Charles De Gaulle,GVA,Paris Charles De Gaulle,1
GVA-Paris Orly,GVA,Paris Orly,1
GVA-Perth,GVA,Perth,1
GVA-Peru,GVA,Peru,1
GVA-Philippines,GVA,Philippines,1
GVA-Phuket.International,GVA,Phuket.International,1
GVA-Poland,GVA,Poland,1
GVA-Punta Cana,GVA,Punta Cana,1
GVA-Qatar,GVA,Qatar,1
GVA-Rabat,GVA,Rabat,1
GVA-Rennes,GVA,Rennes,1
GVA-Riga,GVA,Riga,1
GVA-Rio De Janeiro International,GVA,Rio De Janeiro International,1
GVA-Roma Fiumicino,GVA,Roma Fiumicino,1
GVA-Russia,GVA,Russia,1
GVA-Salzburg,GVA,Salzburg,1
GVA-San Jose Juan Santamaria,GVA,San Jose Juan Santamaria,1
GVA-Santiago Comodoro Arturo Merino Ben,GVA,Santiago Comodoro Arturo Merino Ben,1
GVA-Sao Paulo Guarulhos Int,GVA,Sao Paulo Guarulhos Int,1
GVA-Senegal,GVA,Senegal,1
GVA-Sevilla,GVA,Sevilla,1
GVA-Sharm El Sheikh International,GVA,Sharm El Sheikh International,1
GVA-Sibiu,GVA,Sibiu,1
GVA-South Africa,GVA,South Africa,1
GVA-Sphinx International Airport,GVA,Sphinx International Airport,1
GVA-Sri Lanka,GVA,Sri Lanka,1
GVA-St Petersburg Pulkovo,GVA,St Petersburg Pulkovo,1
GVA-Stockholm Arlanda,GVA,Stockholm Arlanda,1
GVA-Stuttgart,GVA,Stuttgart,1
GVA-Suvarnabhumi Bangkok International,GVA,Suvarnabhumi Bangkok International,1
GVA-Sweden,GVA,Sweden,1
GVA-Sydney Kingsford Smith,GVA,Sydney Kingsford Smith,1
GVA-Tallinn,GVA,Tallinn,1
GVA-Tel Aviv Ben Gurion International,GVA,Tel Aviv Ben Gurion International,1
GVA-Tenerife Sur Reina Sofia,GVA,Tenerife Sur Reina Sofia,1
GVA-Thailand,GVA,Thailand,1
GVA-Toulouse Blagnac,GVA,Toulouse Blagnac,1
GVA-Ukraine,GVA,Ukraine,1
GVA-United Arab Emirates,GVA,United Arab Emirates,1
GVA-United Kingdom,GVA,United Kingdom,1
GVA-Vietnam,GVA,Vietnam,1
GVA-Vilnius,GVA,Vilnius,1
GVA-Warszawa,GVA,Warszawa,1
GVA-Wroclaw,GVA,Wroclaw,1
GVA-Yaoundé Nsimalen International,GVA,Yaoundé Nsimalen International,1
GVA-Zagreb,GVA,Zagreb,1
GVA-Zanzibar,GVA,Zanzibar,1
GVA-Zürich,GVA,Zürich,1
ZRH-Abu Dhabi International,ZRH,Abu Dhabi International,1
ZRH-Addis Ababa,ZRH,Addis Ababa,1
ZRH-Africa,ZRH,Africa,1
ZRH-Al Massira,ZRH,Al Massira,1
ZRH-Algeria,ZRH,Algeria,1
ZRH-Algiers,ZRH,Algiers,1
ZRH-Amsterdam Schiphol,ZRH,Amsterdam Schiphol,1
ZRH-Argentina,ZRH,Argentina,1
ZRH-Auckland International,ZRH,Auckland International,1
ZRH-Australia,ZRH,Australia,1
ZRH-Austria,ZRH,Austria,1
ZRH-Banja Luka,ZRH,Banja Luka,1
ZRH-Belgium,ZRH,Belgium,1
ZRH-Blaise Diagne International,ZRH,Blaise Diagne International,1
ZRH-Bogota,ZRH,Bogota,1
ZRH-Brazil,ZRH,Brazil,1
ZRH-Bremen,ZRH,Bremen,1
ZRH-Brisbane International,ZRH,Brisbane International,1
ZRH-Brussels National,ZRH,Brussels National,1
ZRH-Buenos Aires Ministro Pistarini,ZRH,Buenos Aires Ministro Pistarini,1
ZRH-Cabo Verde,ZRH,Cabo Verde,1
ZRH-Cairo,ZRH,Cairo,1
ZRH-Cambodia,ZRH,Cambodia,1
ZRH-Cameroon,ZRH,Cameroon,1
ZRH-Cancun,ZRH,Cancun,1
ZRH-Cape Town,ZRH,Cape Town,1
ZRH-Chile,ZRH,Chile,1
ZRH-Cochin International,ZRH,Cochin International,1
ZRH-Colombia,ZRH,Colombia,1
ZRH-Colombo Bandaranayike,ZRH,Colombo Bandaranayike,1
ZRH-Costa Rica,ZRH,Costa Rica,1
ZRH-Cuba,ZRH,Cuba,1
ZRH-Dakar,ZRH,Dakar,1
ZRH-Dar Es Salaam,ZRH,Dar Es Salaam,1
ZRH-Dominican Republic,ZRH,Dominican Republic,1
ZRH-Domodedovo International,ZRH,Domodedovo International,1
ZRH-Douala,ZRH,Douala,1
ZRH-Dubai International,ZRH,Dubai International,1
ZRH-Düsseldorf,ZRH,Düsseldorf,1
ZRH-Ethiopia,ZRH,Ethiopia,1
ZRH-Finland,ZRH,Finland,1
ZRH-Frankfurt International,ZRH,Frankfurt International,1
ZRH-Genève,ZRH,Genève,1
ZRH-Germany,ZRH,Germany,1
ZRH-Hannover,ZRH,Hannover,1
ZRH-Hanoi,ZRH,Hanoi,1
ZRH-Ho Chi Minh City,ZRH,Ho Chi Minh City,1
ZRH-Istanbul,ZRH,Istanbul,1
ZRH-Jamaica,ZRH,Jamaica,1
ZRH-Johannesburg International,ZRH,Johannesburg International,1
ZRH-Jorge Chávez International,ZRH,Jorge Chávez International,1
ZRH-Kathmandu,ZRH,Kathmandu,1
ZRH-Kenya,ZRH,Kenya,1
ZRH-Kiev Borispol,ZRH,Kiev Borispol,1
ZRH-Koh Samui,ZRH,Koh Samui,1
ZRH-Kuala Lumpur.International,ZRH,Kuala Lumpur.International,1
ZRH-Köln Bonn,ZRH,Köln Bonn,1
ZRH-Lanzarote,ZRH,Lanzarote,1
ZRH-Las Palmas,ZRH,Las Palmas,1
ZRH-Leipzig,ZRH,Leipzig,1
ZRH-Liberia/Daniel Oduber Quiros,ZRH,Liberia/Daniel Oduber Quiros,1
ZRH-London City,ZRH,London City,1
ZRH-London Gatwick,ZRH,London Gatwick,1
ZRH-London Heathrow,ZRH,London Heathrow,1
ZRH-Luxembourg,ZRH,Luxembourg,1
ZRH-Lyon Satolas,ZRH,Lyon Satolas,1
ZRH-Madrid Barajas,ZRH,Madrid Barajas,1
ZRH-Mahe Island,ZRH,Mahe Island,1
ZRH-Malaysia,ZRH,Malaysia,1
ZRH-Maldives,ZRH,Maldives,1
ZRH-Male,ZRH,Male,1
ZRH-Manchester International,ZRH,Manchester International,1
ZRH-Manila Ninoy Aquino International,ZRH,Manila Ninoy Aquino International,1
ZRH-Marrakech,ZRH,Marrakech,1
ZRH-Mauritius,ZRH,Mauritius,1
ZRH-Melbourne,ZRH,Melbourne,1
ZRH-Mexico,ZRH,Mexico,1
ZRH-Mexico City Benito Juarez Intl,ZRH,Mexico City Benito Juarez Intl,1
ZRH-Miami International,ZRH,Miami International,1
ZRH-Milano Malpensa,ZRH,Milano Malpensa,1
ZRH-Montego Bay,ZRH,Montego Bay,1
ZRH-Morocco,ZRH,Morocco,1
ZRH-Moskva Sheremetyevo,ZRH,Moskva Sheremetyevo,1
ZRH-Muscat,ZRH,Muscat,1
ZRH-Myanmar,ZRH,Myanmar,1
ZRH-München Franz Joseph Strauss,ZRH,München Franz Joseph Strauss,1
ZRH-Nepal,ZRH,Nepal,1
ZRH-Netherlands,ZRH,Netherlands,1
ZRH-New Zealand,ZRH,New Zealand,1
ZRH-Nürnberg,ZRH,Nürnberg,1
ZRH-Oceania,ZRH,Oceania,1
ZRH-Oman,ZRH,Oman,1
ZRH-Other airports: Africa,ZRH,Other airports: Africa,1
ZRH-Other airports: America,ZRH,Other airports: America,1
