origin,destination,route,months_count,total_passengers,mean_passengers,trend,seasonality_strength,recent_growth_pct,recent_avg,test_period_avg,volatility,category
GVA,Skopje Alexander The Great,GVA-Skopje Alexander The Great,165,80997,490.8909090909091,1.7651598336653276,29.57621385465485,730.8764370234468,1246.5454545454545,180.83333333333334,148.4635903535066,low_volume_high_growth_low_seasonality
GVA,Leeds Bradford,GVA-Leeds Bradford,165,238873,1447.7151515151515,-0.5375960904005184,129.3150568439354,-12.326101198504768,1378.8181818181818,547.6666666666666,136.7198843592578,mid_volume_declining_high_seasonality
ZRH,Pula,ZRH-Pula,165,32971,199.8242424242424,1.2625918246109007,109.2469014327132,4.065148745221865,316.24242424242425,477.5,142.54547330081812,low_volume_high_growth_high_seasonality
GVA,Tivat,GVA-Tivat,165,32395,196.33333333333334,2.554584662429622,149.16345246949604,150.09555009555012,555.2121212121212,1225.5,233.5339345970471,low_volume_high_growth_high_seasonality
GVA,London City,GVA-London City,165,930122,5637.10303030303,-0.7686766709893198,17.481350038030868,-68.62211836245883,2608.181818181818,380.8333333333333,61.30127460011021,high_volume_declining_low_seasonality
GVA,Birmingham International,GVA-Birmingham International,165,583211,3534.612121212121,0.4683319583323501,101.32906740722834,15.930884127008028,5249.060606060606,2167.6666666666665,111.41112671230573,high_volume_stable_growth_high_seasonality
ZRH,Santa Cruz De La Palma,ZRH-Santa Cruz De La Palma,165,46238,280.23030303030305,0.28080553379931833,31.279867298874652,-67.58694500150668,157.54545454545453,244.66666666666666,79.78387313386015,low_volume_stable_growth_low_seasonality
GVA,Chania,GVA-Chania,165,26132,158.37575757575758,2.8268387302230655,96.26023725086048,,587.7878787878788,1314.8333333333333,235.93216210160855,low_volume_high_growth_high_seasonality
GVA,Montenegro,GVA-Montenegro,165,41552,251.83030303030304,2.192849347508848,120.30045658432213,118.9468315695525,650.4545454545455,1331.5,190.4612429681142,low_volume_high_growth_high_seasonality
GVA,Montreal Dorval International,GVA-Montreal Dorval International,165,320164,1940.387878787879,2.105278028014359,33.208891365260335,742.7650515711201,5678.363636363636,6250.166666666667,120.50639556348219,mid_volume_high_growth_low_seasonality
GVA,Cuba,GVA-Cuba,165,78734,477.1757575757576,0.206126306358619,30.71263516420204,-72.90175956417617,330.6060606060606,178.83333333333334,104.86876429562379,low_volume_stable_growth_low_seasonality
ZRH,Beijing Capital,ZRH-Beijing Capital,165,313387,1899.3151515151515,-0.774070846451039,27.378837063130195,-65.76302663259186,1052.121212121212,1384.3333333333333,73.38554998754014,mid_volume_declining_low_seasonality
ZRH,Leeds Bradford,ZRH-Leeds Bradford,165,12276,74.4,0.09228221387296837,22.399151074035085,-45.47965846308388,65.78787878787878,74.16666666666667,59.06911114617278,low_volume_stable_growth_low_seasonality
ZRH,Birmingham International,ZRH-Birmingham International,165,406374,2462.8727272727274,-0.3667389805900455,10.805493249879548,-27.74230068458014,2269.3333333333335,2701.6666666666665,45.460541133478685,mid_volume_declining_low_seasonality
ZRH,Bologna,ZRH-Bologna,165,49790,301.75757575757575,2.141765814498842,23.726999878830622,810.689117692257,1047.5454545454545,1059.0,137.98008459889482,low_volume_high_growth_low_seasonality
ZRH,Zanzibar,ZRH-Zanzibar,165,91058,551.8666666666667,2.4509001867269125,59.649471046620306,629.9553652760065,1618.878787878788,2054.0,155.81838875086393,low_volume_high_growth_high_seasonality
GVA,Pula,GVA-Pula,165,8262,50.07272727272727,1.3136124196651418,192.21369230765274,-94.36244434316166,8.121212121212121,16.166666666666668,444.82584875288967,low_volume_high_growth_high_seasonality
ZRH,Cartagena,ZRH-Cartagena,165,23832,144.43636363636364,3.2232525025296597,90.76725245644383,,652.6060606060606,283.0,311.1195602836725,low_volume_high_growth_high_seasonality
ZRH,Casablanca Mohamed V,ZRH-Casablanca Mohamed V,165,84082,509.58787878787876,-0.5378148624486339,15.405565322784165,-71.8710727363139,235.6969696969697,261.3333333333333,75.31848770287948,low_volume_declining_low_seasonality
GVA,Izmir Adnan Menderes,GVA-Izmir Adnan Menderes,165,70905,429.72727272727275,2.0848462923313353,71.80926552986347,341.6631082144061,992.5151515151515,1464.0,154.32058218716716,low_volume_high_growth_high_seasonality
